NAME,ORGAN_NAME,ADDRESS,ADDRESS2,CITY,STATE,COUNTY,ZIPCODE,PHONE,XCOORD,YCOORD,IS_CHAIN
AIDS HEALTHCARE FOUNDATION DBA AHF PHARMACY,,"1701 K STREET, NW",SUITE 400,Washington,DC,,None,202-293-8695,396635.880000000004657,137217.279999999998836,0
APEX CARE PHARMACY,,3839 MINNESOTA AVE NE, ,Washington,DC,,None,202-388-1900,404304.669999999983702,136115.850000000005821,0
APEX CARE SPECIALTY PHARMACY,,210 MICHIGAN AVE NE, ,Washington,DC,,None,202-265-2200,399613.919999999983702,140209.209999999991851,0
ALPHA PEOPLES DRUGS,,"1638 R STREET, NW",SUITE 1,Washington,DC,,None,202-265-7979,396697.320000000006985,138280.779999999998836,0
AMERICAN ICT CORP DBA STERLING PHARMACY,,1647 BENNING ROAD NE,SUITE 101,Washington,DC,,None,202-399-7877,401741.090000000025611,136819.580000000016298,0
BRIDGEPOINT CONTINUING CARE - NATIONAL HARBORSIDE HOSPITAL,,4601 MARTIN LUTHER KING JR AVE SW, ,Washington,DC,,None,703-772-9272,398851.559999999997672,128563.290000000008149,0
BRIDGEPOINT CONTINUING CARE HOSPITAL - CAPITOL HILL,,"223 7TH STREET, NE", ,Washington,DC,,None,202-546-5700,400362.049999999988358,136135.720000000001164,0
BRIDGEPOINT CONTINUING CARE - NATIONAL HARBORSIDE HOSPITAL,,4601 MARTIN LUTHER KING JR. AVENUE SW, ,Washington,DC,,None,20257457005711,398851.559999999997672,128563.290000000008149,0
BRIDGEPOINT CONTINUING CARE HOSPITAL - CAPITOL HILL,,223 SEVENTH STREET NE, ,Washington,DC,,None,20254657002161,400362.049999999988358,136135.720000000001164,0
CAPSULE PHARMACY,,1705 DESALES STREET NW, ,Washington,DC,,None,888-685-9515,396621.729999999981374,137458.220000000001164,0
CENTRAL PHARMACY LLC,,2202 MARTIN LUTHER KING JR AVE SE, ,Washington,DC,,None,202-678-6010,400900.390000000013970,132985.160000000003492,0
CHILDREN'S NATIONAL MEDICAL CENTER PHARMACY,,111 MICHIGAN AVE NW, ,Washington,DC,,None,202-476-4244,398807.600000000034925,139978.019999999989523,0
CVS PHARMACY #10685,,675 K  STREET NW, ,Washington,DC,,None,401-765-1500,398151.850000000034925,137214.339999999996508,1
CVS PHARMACY #1354,,2601 CONNECTICUT AVE NW, ,Washington,DC,,None,401-765-1500,395549.489999999990687,139550.369999999995343,1
CVS PHARMACY #2733,,1601 17TH ST NW, ,Washington,DC,,None,401-770-8836,396682.559999999997672,138165.260000000009313,1
CVS/ PHARMACY #10287,,645 HST NE, ,Washington,DC,,None,401-765-1500,400295.919999999983702,136895.809999999997672,1
CVS/ PHARMACY #7102,,1100 NEW JERSEY AVENUE SE, ,Washington,DC,,None,401-765-1500,399657.929999999993015,134346.720000000001164,1
CVS/PHARMACY #10415,,804 MAINE AVE SW, ,Washington,DC,,None,401-765-1500,397870.179999999993015,134652.640000000013970,1
CVS/PHARMACY #1333,,3601 12TH STREET NE, ,Washington,DC,,None,401-765-1500,400794.919999999983702,140658.860000000015134,1
CVS/PHARMACY #1337,,1403 WISCONSIN AVE NW, ,Washington,DC,,None,401-765-1500,394481.250000000000000,137864.450000000011642,1
CVS/PHARMACY #1338,,661 PENNSYLVANIA AVE SE, ,Washington,DC,,None,401-765-1500,400305.520000000018626,135181.299999999988358,1
CVS/PHARMACY #1341,,1199 VERMONT AVE NW, ,Washington,DC,,None,401-765-1500,397199.520000000018626,137395.160000000003492,1
